431;R;493,454,490,457,
432;K;491,440,489,464,488,476,
433;O;451,460,492,
434;I;480,463,470,489,452,464,
435;B;495,457,
436;Q;496,490,447,483,498,457,
437;Q;479,468,457,464,472,440,
438;W;445,
439;I;
440;P;456,447,478,
441;B;
442;K;446,454,473,462,491,498,
443;J;495,483,488,
444;V;471,455,461,445,459,466,
445;N;473,484,483,449,
446;D;485,
447;F;
448;A;
449;O;478,
450;T;458,495,484,
451;A;493,498,496,488,499,
452;N;478,468,483,456,
453;J;469,481,476,491,495,493,
454;F;
455;T;492,487,
456;O;485,
457;M;490,499,472,474,
458;L;
459;U;468,479,464,
460;E;472,475,464,
461;P;479,480,
462;C;470,469,494,482,492,
463;Y;491,472,
464;I;483,496,471,465,489,484,
465;O;471,495,480,496,
466;P;486,
467;C;
468;Y;474,
469;X;479,493,
470;X;495,
471;I;
472;A;480,476,
473;S;498,
474;V;477,480,488,
475;L;485,484,
476;A;499,496,491,495,
477;I;482,488,493,483,
478;V;487,486,497,499,
479;U;497,
480;C;492,495,489,491,490,
481;G;495,
482;L;
483;Q;484,498,490,492,
484;R;487,491,495,499,492,
485;C;488,497,486,
486;C;
487;M;490,498,499,489,
488;R;490,
489;H;494,491,
490;Y;492,494,499,498,
491;S;
492;W;499,498,495,497,
493;Q;496,497,
494;O;496,495,
495;C;496,
496;L;498,
497;V;499,498,
498;O;499,
499;K;
